parser,dataset,file_size
Revision,android,32301
Revision,apache,10185
Revision,BGL,58798
Revision,Hadoop,31422
Revision,HDFS,63319
Revision,HealthApp,20685
Revision,HPC,26622
Revision,Linux,22290
Revision,Mac,82737
Revision,OpenSSH,15578
Revision,OpenStack,68336
Revision,Proxifier,27114
Revision,Spark,15964
Revision,Windows,16465
Revision,Zookeeper,28488
VTE,android,33625
VTE,apache,10148
VTE,BGL,58989
VTE,Hadoop,31104
VTE,HDFS,66244
VTE,HealthApp,21230
VTE,HPC,26236
VTE,Linux,23478
VTE,Mac,83974
VTE,OpenSSH,21665
VTE,OpenStack,61192
VTE,Proxifier,20823
VTE,Spark,15754
VTE,Windows,17151
VTE,Zookeeper,28307
Drain,android,33521
Drain,apache,9639
Drain,BGL,54716
Drain,Hadoop,23752
Drain,HDFS,63218
Drain,HealthApp,19165
Drain,HPC,26207
Drain,Linux,23416
Drain,Mac,66844
Drain,OpenSSH,14910
Drain,OpenStack,64017
Drain,Proxifier,23842
Drain,Spark,16281
Drain,Windows,16071
Drain,Zookeeper,27926
